timestamp,value1,value2
1,0,233
2,0,249
3,0,258
4,0,330
5,0,350
6,0,404
7,0,391
8,0,372
9,0,386
10,0,432
11,0,344
12,0,336
13,0,286
14,0,301
15,0,273
16,0,255
17,0,208
18,0,266
19,0,180
20,0,126
21,0,140
22,0,160
23,0,208
24,0,252
25,0,376
26,0,425
27,0,502
28,0,554
29,0,647
30,0,613
31,0,736
32,0,775
33,0,734
34,0,626
35,0,623
36,0,668
37,0,697
38,0,635
39,0,667
40,0,629
41,0,516
42,0,506
43,0,461
44,0,428
45,0,371
46,0,408
47,0,410
48,0,370
49,0,394
50,0,307
51,0,257
52,0,176
53,0,101
54,0,96
55,0,83
56,0,256
57,0,401
58,0,139
59,0,202
60,0,148
61,0,167
62,0,160
63,0,168
64,0,170
65,0,153
66,0,196
67,0,230
68,0,256
69,0,282
70,0,427
71,0,458
72,0,347
73,0,342
74,0,287
75,0,259
76,0,278
77,0,286
78,0,224
79,0,286
80,0,378
81,0,336
82,0,356
83,0,327
84,0,282
85,0,365
86,0,458
87,0,522
88,0,476
89,0,544
90,0,520
91,0,547
92,0,515
93,0,605
94,0,544
95,0,469
96,0,551
97,0,543
98,0,618
99,0,612
100,0,514
101,0,601
102,0,690
103,0,666
104,0,648
105,0,523
106,0,447
107,0,418
108,0,357
109,0,339
110,0,268
111,0,196
112,0,175
113,0,117
114,0,120
115,0,101
116,0,94
117,0,92
118,0,91
119,0,60
120,0,90
121,0,95
122,0,105
123,0,82
124,0,83
125,0,151
126,0,118
127,0,156
128,0,190
129,0,291
130,0,292
131,0,313
132,0,291
133,0,250
134,0,256
135,0,239
136,0,230
137,0,220
138,0,214
