timestamp,value1,value2
1,42.652,36.052
2,41.362,34.624
3,43.408,33.71
4,40.262,34.154
5,40.328,30.892
6,42.652,33.17
7,39.836,35.078
8,42.57,33.53
9,45.212,36.996
10,41.15,31.54
11,42.91,33.544
12,43.756,34.624
13,38.522,36.472
14,42.488,35.962
15,41.268,32.762
16,42.136,33.424
17,42.066,32.512
18,43.544,33.404
19,38.404,35.118
20,42.018,33.642
21,44.872,35.61
22,40.658,35.674
23,42.276,33.726
24,43.052,34.812
25,43.568,34.956
26,38.356,33.568
27,39.788,35.046
28,41.83,31.654
29,39.038,33.848
30,42.184,37.09
31,41.76,30.938
32,43.99,33.428
33,41.476,35.306
34,39.236,32.846
35,41.798,33.732
36,39.722,33.1
37,40.61,35.824
38,44.414,33.78
39,38.404,39.356
40,41.982,31.174
41,42.066,34.312
42,42.336,33.616
43,41.01,36.01
44,43.122,37.112
45,39.954,30.68
46,40.516,35.376
47,45.396,36.442
48,38.188,31.314
49,42.536,35.868
50,38.882,33.408
51,40.766,33.742
52,40.4,35.024
53,41.808,34.038
54,42.324,35.564
55,44.152,33.498
56,40.234,33.99
57,40.892,35.868
58,41.494,32.86
59,40.61,35.746
60,42.484,35.41
61,38.774,35.024
62,45.14,33.686
63,40.122,33.99
64,41.01,34.108
65,43.708,35.188
66,40.61,33.932
67,43.498,35.892
68,42.606,31.126
69,46.362,35.622
70,40.306,35.704
71,46.478,33.492
72,38.808,33.24
73,41.878,36.494
74,44.254,30.342
75,41.57,33.262
76,39.206,33.474
77,40.482,36.338
78,43.594,31.174
79,41.808,38.78
80,40.752,34.34
81,46.314,36.502
82,38.99,36.268
83,41.666,34.788
84,39.39,36.742
85,40.812,32.646
86,42.204,36.292
87,44.954,34.508
88,41.55,34.062
89,42.09,35.282
90,42.178,34.68
91,43.24,39.104
92,38.27,34.154
93,42.206,36.292
94,44.156,37.888
95,41.332,33.796
96,42.276,36.338
97,41.15,34.32
98,41.648,35.658
99,41.298,34.694
100,38.616,36.162
101,41.15,34.508
102,44.718,31.456
103,41.924,35.3
104,42.042,33.45
105,42.536,33.28
106,45.164,35.328
107,39.142,37.276
108,41,34.672
109,40.576,31.76
110,44.234,33.356
111,42.816,33.686
112,41.314,33.972
113,40.156,33.874
114,45.684,36.326
115,39.508,32.324
116,42.36,34.078
117,46.882,33.428
118,40.188,35.046
119,40.576,33.358
120,41.924,35.14
121,40.68,33.708
122,39.152,33.944
123,45,33.92
124,38.898,33.38
125,41.69,37.652
126,43.568,29.378
127,42.23,35.33
128,42.3,34.906
129,44.328,32.356
130,40.172,34.988
131,41.292,35.328
132,44.812,31.392
133,43.17,34.456
134,42.7,38.208
135,45.716,35.61
136,39.202,28.225
137,41.572,35.788
138,44.164,33.498
139,40.798,34.32
140,42.066,38.262
141,43.708,33.004
142,41.22,30.872
143,41.394,34.014
144,41.996,34.906
145,40.102,35.164
146,42.37,36.112
147,38.858,32.958
148,42.16,32.3
149,41.422,35.422
150,43.146,33.732
151,40.54,33.494
152,43.988,39.814
153,41.126,30.118
154,40.868,34.296
155,46.478,34.414
156,41.76,35.474
157,43.538,35.14
158,44.014,37.324
159,44.406,32.934
160,38.25,34.586
161,41.022,36.578
162,43.926,37.632
163,39.578,31.598
164,43.638,38.638
165,44.578,34.014
166,38.92,34.062
167,40.538,33.896
168,43.498,35.774
169,39.468,32.51
170,39.366,38.756
171,42.498,29.43
172,38.826,33.978
173,41.182,35.796
174,42.866,35.282
175,40.932,34.6
176,42.538,32.922
177,47.37,33.616
178,38.81,33.38
179,45.114,34.32
180,45.438,32.63
181,42.864,37.502
182,44.738,31.15
183,46.43,33.826
184,41.028,33.568
185,40.362,35.054
186,46.266,32.228
187,39.342,34.9
188,44.248,33.662
189,42.63,33.24
190,42.77,30.606
191,43.944,32.136
192,40.774,32.254
193,43.728,34.202
194,48.756,30.278
195,41.29,32.558
196,41.572,32.184
197,42.262,34.32
198,45.6,38.324
199,41.15,29.624
200,44.302,34.038
201,41.972,34.252
202,42.324,30.406
203,43.028,32.066
204,44.648,31.972
205,43.404,32.778
206,38.052,36.01
207,41.338,29.248
208,40.602,33.896
209,40.61,32.37
210,42.18,32.16
211,40.446,32.7
212,45.188,36.738
213,44.132,33.356
214,41.644,32.17
215,39.248,33.008
216,42.042,34.144
217,40.364,34.21
218,42.182,28.262
219,38.79,32.234
220,42.04,32.418
221,43.38,33.944
222,41.08,34.118
223,40.68,30.756
224,41.878,35.024
225,46.488,30.846
226,38.028,34.578
227,40.916,29.414
228,40.822,33.99
229,41.864,30.336
230,41.456,32.676
231,44.804,33.708
232,38.99,31.01
233,40.57,33.826
234,45.164,34.436
235,38.316,32.512
236,42.112,32.136
237,42.488,34.812
238,38.592,33.544
239,40.492,36.22
240,41.748,32.848
241,43.286,33.146
242,41.69,32.276
243,45.702,32.206
244,38.85,32.536
245,38.592,34.508
246,42.066,36.362
247,43.094,29.202
248,40.442,34.578
249,45.282,34.93
250,38.826,33.662
251,41.948,33.592
