id,value
1,0.841470985
2,0.873736397
3,0.90255357
4,0.927808777
5,0.949402346
6,0.967249058
7,0.98127848
8,0.991435244
9,0.997679266
10,0.999985904
11,0.998346054
12,0.992766189
13,0.983268329
14,0.969889958
15,0.952683874
16,0.931717983
17,0.907075026
18,0.878852258
19,0.847161063
20,0.812126509
21,0.773886863
22,0.73259304
23,0.688408006
24,0.64150614
25,0.592072543
26,0.540302306
27,0.486399742
28,0.430577581
29,0.373056127
30,0.314062391
31,0.253829194
32,0.192594249
33,0.130599223
34,0.068088781
35,0.005309624
36,-0.057490488
37,-0.120063711
38,-0.182163097
39,-0.243543569
40,-0.303962886
41,-0.3631826
42,-0.420968998
43,-0.477094024
44,-0.531336178
45,-0.583481391
46,-0.633323869
47,-0.680666907
48,-0.725323664
49,-0.7671179
50,-0.805884672
51,-0.841470985
52,-0.873736397
53,-0.90255357
54,-0.927808777
55,-0.949402346
56,-0.967249058
57,-0.98127848
58,-0.991435244
59,-0.997679266
60,-0.999985904
61,-0.998346054
62,-0.992766189
63,-0.983268329
64,-0.969889958
65,-0.952683874
66,-0.931717983
67,-0.907075026
68,-0.878852258
69,-0.847161063
70,-0.812126509
71,-0.773886863
72,-0.73259304
73,-0.688408006
74,-0.64150614
75,-0.592072543
76,-0.540302306
77,-0.486399742
78,-0.430577581
79,-0.373056127
80,-0.314062391
81,-0.253829194
82,-0.192594249
83,-0.130599223
84,-0.068088781
85,-0.005309624
86,0.057490488
87,0.120063711
88,0.182163097
89,0.243543569
90,0.303962886
91,0.3631826
92,0.420968998
93,0.477094024
94,0.531336178
95,0.583481391
96,0.633323869
97,0.680666907
98,0.725323664
99,0.7671179
100,0.805884672
101,0.841470985
102,0.873736397
103,0.90255357
104,0.927808777
105,0.949402346
106,0.967249058
107,0.98127848
108,0.991435244
109,0.997679266
110,0.999985904
111,0.998346054
112,0.992766189
113,0.983268329
114,0.969889958
115,0.952683874
116,0.931717983
117,0.907075026
118,0.878852258
119,0.847161063
120,0.812126509
121,0.773886863
122,0.73259304
123,0.688408006
124,0.64150614
125,0.592072543
126,0.540302306
127,0.486399742
128,0.430577581
129,0.373056127
130,0.314062391
131,0.253829194
132,0.192594249
133,0.130599223
134,0.068088781
135,0.005309624
136,-0.057490488
137,-0.120063711
138,-0.182163097
139,-0.243543569
140,-0.303962886
141,-0.3631826
142,-0.420968998
143,-0.477094024
144,-0.531336178
145,-0.583481391
146,-0.633323869
147,-0.680666907
148,-0.725323664
149,-0.7671179
150,-0.805884672
151,-0.841470985
152,-0.873736397
153,-0.90255357
154,-0.927808777
155,-0.949402346
156,-0.967249058
157,-0.98127848
158,-0.991435244
159,-0.997679266
160,-0.999985904
161,-0.998346054
162,-0.992766189
163,-0.983268329
164,-0.969889958
165,-0.952683874
166,-0.931717983
167,-0.907075026
168,-0.878852258
169,-0.847161063
170,-0.812126509
171,-0.773886863
172,-0.73259304
173,-0.688408006
174,-0.64150614
175,-0.592072543
176,-0.540302306
177,-0.486399742
178,-0.430577581
179,-0.373056127
180,-0.314062391
181,-0.253829194
182,-0.192594249
183,-0.130599223
184,-0.068088781
185,-0.005309624
186,0.057490488
187,0.120063711
188,0.182163097
189,0.243543569
190,0.303962886
191,0.3631826
192,0.420968998
193,0.477094024
194,0.531336178
195,0.583481391
196,0.633323869
197,0.680666907
198,0.725323664
199,0.7671179
200,0.805884672
201,0.841470985
202,0.873736397
203,0.90255357
204,0.927808777
205,0.949402346
206,0.967249058
207,0.98127848
208,0.991435244
209,0.997679266
210,0.999985904
211,0.998346054
212,0.992766189
213,0.983268329
214,0.969889958
215,0.952683874
216,0.931717983
217,0.907075026
218,0.878852258
219,0.847161063
220,0.812126509
221,0.773886863
222,0.73259304
223,0.688408006
224,0.64150614
225,0.592072543
226,0.540302306
227,0.486399742
228,0.430577581
229,0.373056127
230,0.314062391
231,0.253829194
232,0.192594249
233,0.130599223
234,0.068088781
235,0.005309624
236,-0.057490488
237,-0.120063711
238,-0.182163097
239,-0.243543569
240,-0.303962886
241,-0.3631826
242,-0.420968998
243,-0.477094024
244,-0.531336178
245,-0.583481391
246,-0.633323869
247,-0.680666907
248,-0.725323664
249,-0.7671179
250,-0.805884672
251,-0.841470985
252,-0.873736397
253,-0.90255357
254,-0.927808777
255,-0.949402346
256,-0.967249058
257,-0.98127848
258,-0.991435244
259,-0.997679266
260,-0.999985904
261,-0.998346054
262,-0.992766189
263,-0.983268329
264,-0.969889958
265,-0.952683874
266,-0.931717983
267,-0.907075026
268,-0.878852258
269,-0.847161063
270,-0.812126509
271,-0.773886863
272,-0.73259304
273,-0.688408006
274,-0.64150614
275,-0.592072543
276,-0.540302306
277,-0.486399742
278,-0.430577581
279,-0.373056127
280,-0.314062391
281,-0.253829194
282,-0.192594249
283,-0.130599223
284,-0.068088781
285,-0.005309624
286,0.057490488
287,0.120063711
288,0.182163097
289,0.243543569
290,0.303962886
291,0.3631826
292,0.420968998
293,0.477094024
294,0.531336178
295,0.583481391
296,0.633323869
297,0.680666907
298,0.725323664
299,0.7671179
300,0.805884672
301,0.841470985
302,0.873736397
303,0.90255357
304,0.927808777
305,0.949402346
306,0.967249058
307,0.98127848
308,0.991435244
309,0.997679266
310,0.999985904
311,0.998346054
312,0.992766189
313,0.983268329
314,0.969889958
315,0.952683874
316,0.931717983
317,0.907075026
318,0.878852258
319,0.847161063
320,0.812126509
321,0.773886863
322,0.73259304
323,0.688408006
324,0.64150614
325,0.592072543
326,0.540302306
327,0.486399742
328,0.430577581
329,0.373056127
330,0.314062391
331,0.253829194
332,0.192594249
333,0.130599223
334,0.068088781
335,0.005309624
336,-0.057490488
337,-0.120063711
338,-0.182163097
339,-0.243543569
340,-0.303962886
341,-0.3631826
342,-0.420968998
343,-0.477094024
344,-0.531336178
345,-0.583481391
346,-0.633323869
347,-0.680666907
348,-0.725323664
349,-0.7671179
350,-0.805884672
351,-0.841470985
352,-0.873736397
353,-0.90255357
354,-0.927808777
355,-0.949402346
356,-0.967249058
357,-0.98127848
358,-0.991435244
359,-0.997679266
360,-0.999985904
361,-0.998346054
362,-0.992766189
363,-0.983268329
364,-0.969889958
365,-0.952683874
366,-0.931717983
367,-0.907075026
368,-0.878852258
369,-0.847161063
