time,time1,time2
1,0.58046914,-0.902534044
2,0.784374931,-1.077366346
3,0.791292377,-1.086242156
4,1.217305617,-1.083424565
5,1.065352091,-1.030177688
6,0.682618802,-0.918645395
7,1.191932902,-1.200991132
8,1.085480606,-1.171623935
9,1.23279918,-1.291698795
10,0.897939982,-1.309653952
11,0.56124721,-1.409985723
12,0.443015141,-1.549931383
13,0.200397304,-1.53917984
14,-0.117181397,-1.479663225
15,-0.44245878,-1.484476276
16,-0.676413048,-1.493244331
17,-0.636252215,-1.535392455
18,2.034558302,0.231392566
19,2.324070769,0.225859153
20,2.236630518,0.058930872
21,1.75579076,0.073755151
22,1.201607999,0.014481982
23,1.313354051,-0.15632348
24,1.779000497,-0.439696879
25,1.769144666,-0.487302588
26,2.123657224,-0.404876087
27,1.803968017,-0.338652728
28,1.97474994,-0.457392626
29,1.835345763,-0.491145846
30,1.073578401,-0.178163799
31,1.164172751,-0.475970366
32,0.642813607,-0.431196216
33,0.589330933,-0.521879934
34,1.707150007,-0.766635179
35,1.339659586,-0.882828869
36,0.94726286,-0.426696452
37,1.738816344,-0.718406886
38,1.669350376,-0.876882395
39,1.468030246,-0.871478687
40,1.083332204,-0.800144953
41,0.917298921,-0.778061188
42,0.987729775,-0.835947511
43,1.208668283,-0.969781075
44,0.760107025,-0.815258573
45,0.874464974,-1.042677255
46,0.128785849,-0.840984055
47,0.368544008,-1.207765721
48,0.275818747,-1.355699211
49,0.177388706,-1.439127433
50,0.780317162,0.542087815
51,0.915969651,0.624628057
52,1.078370766,0.514514537
53,1.282952851,0.088948589
54,1.325658535,-0.191144272
55,1.547045963,-0.435829676
56,1.043048939,-0.559973281
57,1.334555309,-0.287098002
58,2.143223131,-0.456987547
59,2.015829017,-0.144731848
60,1.759035225,-0.080966897
61,1.846516287,-0.34104329
62,1.763314539,-0.673626749
63,1.558408881,-1.097594333
64,1.189446353,-1.181363779
65,1.36845167,-1.497087589
66,0.894097929,-1.577345024
67,0.473229776,-1.684688845
68,0.122387284,-1.760292865
69,0.011839323,-1.853915897
70,-0.008945081,-1.937226387
71,1.139385964,-0.245907699
72,1.394497764,-0.362851682
73,1.59245974,-0.446950379
74,1.07102189,-0.413622192
75,0.903738044,-0.438541507
76,1.348122016,-0.620872751
77,1.769415767,-0.678224291
78,1.164443852,-0.485470755
79,0.65142179,-0.676420394
80,0.271991268,-0.760399364
