time,value
1,-0.902534044
2,-1.077366346
3,-1.086242156
4,-1.083424565
5,-1.030177688
6,-0.918645395
7,-1.200991132
8,-1.171623935
9,-1.291698795
10,-1.309653952
11,-1.409985723
12,-1.549931383
13,-1.53917984
14,-1.479663225
15,-1.484476276
16,-1.493244331
17,-1.535392455
18,0.231392566
19,0.225859153
20,0.058930872
21,0.073755151
22,0.014481982
23,-0.15632348
24,-0.439696879
25,-0.487302588
26,-0.404876087
27,-0.338652728
28,-0.457392626
29,-0.491145846
30,-0.178163799
31,-0.475970366
32,-0.431196216
33,-0.521879934
34,-0.766635179
35,-0.882828869
36,-0.426696452
37,-0.718406886
38,-0.876882395
39,-0.871478687
40,-0.800144953
41,-0.778061188
42,-0.835947511
43,-0.969781075
44,-0.815258573
45,-1.042677255
46,-0.840984055
47,-1.207765721
48,-1.355699211
49,-1.439127433
50,0.542087815
51,0.624628057
52,0.514514537
53,0.088948589
54,-0.191144272
55,-0.435829676
56,-0.559973281
57,-0.287098002
58,-0.456987547
59,-0.144731848
60,-0.080966897
61,-0.34104329
62,-0.673626749
63,-1.097594333
64,-1.181363779
65,-1.497087589
66,-1.577345024
67,-1.684688845
68,-1.760292865
69,-1.853915897
70,-1.937226387
71,-0.245907699
72,-0.362851682
73,-0.446950379
74,-0.413622192
75,-0.438541507
76,-0.620872751
77,-0.678224291
78,-0.485470755
79,-0.676420394
80,-0.760399364
81,-0.985952289
82,-0.95138093
83,-1.149524206
84,-1.048976925
85,-0.827083674
86,-0.983164631
87,-1.122226301
88,-1.186358417
89,0.808188505
90,0.237797996
91,0.082557128
92,-0.171277464
93,-0.628892508
94,-0.872442495
95,-1.116607084
96,-1.059788332
97,-0.725065739
98,-0.799252982
99,-1.182892302
100,-1.509892461
101,-1.597421356
102,0.155872355
103,-0.199880399
104,-0.397492882
105,-0.493674095
106,-0.403088154
107,-0.59941556
108,-0.704945507
109,-0.809094595
110,-0.816735214
111,-0.777733932
112,-0.865432441
113,-1.046710081
114,-1.178843512
115,-1.151896809
116,-1.232687032
117,-1.377585425
118,0.126459262
119,-0.416721143
120,-0.327947081
121,-0.110381985
122,-0.329553427
123,-0.478117482
124,-0.895272562
125,-0.736387984
126,-0.657441566
127,-1.005964766
128,-0.943740311
129,-0.979492983
130,-1.151822977
131,-1.121785305
132,-1.144242221
133,-1.216865023
134,-1.320164044
135,-0.33552185
136,-0.351561364
137,-0.42166789
138,-0.642451664
139,-0.79937271
140,-0.854946294
