timestamp,value1,value2
1,564,233
2,730,249
3,770,258
4,910,330
5,1035,350
6,1065,404
7,953,391
8,1005,372
9,996,386
10,901,432
11,939,344
12,988,336
13,1020,286
14,876,301
15,870,273
16,809,255
17,884,208
18,926,266
19,829,180
20,712,126
21,624,140
22,632,160
23,596,208
24,510,252
25,526,376
26,99,425
27,85,502
28,85,554
29,87,647
30,93,613
31,57,736
32,101,775
33,177,734
34,221,626
35,332,623
36,338,668
37,263,697
38,304,635
39,358,667
40,385,629
41,397,516
42,426,506
43,461,461
44,418,428
45,448,371
46,432,408
47,416,410
48,425,370
49,439,394
50,423,307
51,370,257
52,404,176
53,387,101
54,185,96
55,184,83
56,104,256
57,108,401
58,121,139
59,120,202
60,127,148
61,52,167
62,93,160
63,151,168
64,161,170
65,160,153
66,177,196
67,193,230
68,119,256
69,143,282
70,151,427
71,138,458
72,143,347
73,146,342
74,173,287
75,226,259
76,206,278
77,243,286
78,238,224
79,294,286
80,226,378
81,209,336
82,222,356
83,136,327
84,129,282
85,133,365
86,182,458
87,253,522
88,218,476
89,216,544
90,203,520
91,143,547
92,103,515
93,162,605
94,180,544
95,223,469
96,282,551
97,262,543
98,289,618
99,260,612
100,271,514
101,248,601
102,234,690
103,309,666
104,319,648
105,266,523
106,207,447
107,198,418
108,223,357
109,250,339
110,193,268
111,144,196
112,121,175
113,104,117
114,161,120
115,178,101
116,161,94
117,204,92
118,195,91
119,189,60
120,214,90
121,204,95
122,220,105
123,219,82
124,154,83
125,118,151
126,124,118
127,174,156
128,232,190
129,316,291
130,340,292
131,398,313
132,401,291
133,392,250
134,349,256
135,388,239
136,345,230
137,363,220
138,516,214
139,460,188
140,411,185
141,413,121
142,331,138
143,367,135
144,330,105
145,288,153
146,293,194
147,225,209
148,226,223
149,200,142
150,203,114
151,197,81
152,1185,82
153,1081,82
154,1174,98
155,1336,59
156,1174,53
157,839,59
158,657,62
159,507,71
160,274,100
161,241,99
162,187,96
163,165,94
164,86,154
165,93,162
166,57,112
167,93,149
168,131,124
169,123,122
170,109,128
171,118,102
172,128,106
173,246,117
174,231,119
175,309,128
176,217,97
177,87,104
178,85,121
179,79,142
180,73,163
181,92,148
182,97,227
183,96,267
184,172,329
185,179,337
186,178,442
187,183,442
188,150,408
189,174,394
190,166,452
191,161,410
192,151,402
193,169,379
194,94,438
195,99,420
196,134,371
197,152,497
198,153,482
199,132,510
200,134,503
201,141,461
202,23,330
203,21,407
204,95,438
205,90,481
206,89,444
207,90,418
208,103,513
209,67,522
210,24,524
211,53,787
212,197,674
213,202,912
214,120,954
215,139,884
216,215,1017
217,196,1046
218,229,671
219,173,594
220,178,548
221,198,461
222,192,452
223,316,423
224,263,279
225,250,378
226,237,366
227,302,311
228,292,274
229,318,252
230,294,308
231,245,276
232,246,259
233,252,163
234,211,183
235,218,189
236,150,215
237,87,547
238,96,879
239,56,798
240,116,697
241,95,411
242,87,371
243,86,702
244,32,807
245,28,871
246,29,537
247,12,430
248,12,427
249,12,373
250,147,328
251,140,322
252,161,301
253,183,281
254,224,262
255,325,252
256,288,242
257,263,206
258,320,168
