ts,value
1,-0.413887
2,-0.413887
3,-0.418598
4,-0.418598
5,-0.423309
6,-0.42802
7,-0.432731
8,-0.437442
9,-0.442153
10,-0.442153
11,-0.437442
12,-0.442153
13,-0.442153
14,-0.437442
15,-0.437442
16,-0.432731
17,-0.432731
18,-0.42802
19,-0.42802
20,-0.423309
21,-0.413887
22,-0.404465
23,-0.399754
24,-0.390331
25,-0.390331
26,-0.38562
27,-0.38562
28,-0.390331
29,-0.395042
30,-0.399754
31,-0.399754
32,-0.395042
33,-0.38562
34,-0.376198
35,-0.366776
36,-0.362065
37,-0.362065
38,-0.366776
39,-0.371487
40,-0.371487
41,-0.376198
42,-0.371487
43,-0.371487
44,-0.366776
45,-0.366776
46,-0.362065
47,-0.357354
48,-0.33851
49,-0.329088
50,-0.329088
51,-0.333799
52,-0.33851
53,-0.333799
54,-0.314955
55,-0.300822
56,-0.29611
57,-0.29611
58,-0.300822
59,-0.300822
60,-0.305533
61,-0.300822
62,-0.291399
63,-0.277266
64,-0.272555
65,-0.272555
66,-0.267844
67,-0.263133
68,-0.258422
69,-0.253711
70,-0.253711
71,-0.249
72,-0.244289
73,-0.244289
74,-0.239578
75,-0.234867
76,-0.234867
77,-0.230156
78,-0.225445
79,-0.220734
80,-0.216023
81,-0.216023
82,-0.211312
83,-0.206601
84,-0.206601
85,-0.20189
86,-0.197178
87,-0.187756
88,-0.183045
89,-0.183045
90,-0.178334
91,-0.178334
92,-0.173623
93,-0.173623
94,-0.168912
95,-0.164201
96,-0.164201
97,-0.168912
98,-0.164201
99,-0.164201
100,-0.15949
101,-0.15949
102,-0.164201
103,-0.164201
104,-0.15949
105,-0.164201
106,-0.168912
107,-0.164201
108,-0.164201
109,-0.15949
110,-0.164201
111,-0.164201
112,-0.15949
113,-0.15949
114,-0.154779
115,-0.154779
116,-0.150068
117,-0.145357
118,-0.145357
119,-0.140646
120,-0.135935
121,-0.135935
122,-0.126513
123,-0.117091
124,-0.121802
125,-0.117091
126,-0.11238
127,-0.11238
128,-0.107669
129,-0.102958
130,-0.0888244
131,-0.0794023
132,-0.0746912
133,-0.0699802
134,-0.0652691
135,-0.0605581
136,-0.055847
137,-0.051136
138,-0.0417139
139,-0.0275807
140,-0.0181586
141,-0.0181586
142,-0.00873654
143,0.0053966
144,0.0053966
145,0.0101076
146,0.0195297
147,0.0336629
148,0.0336629
149,0.0383739
150,0.0525071
151,0.0619292
152,0.0713513
153,0.0901955
154,0.104329
155,0.104329
156,0.113751
157,0.137306
158,0.146728
159,0.142017
160,0.15615
161,0.165572
162,0.170283
163,0.165572
164,0.165572
165,0.193839
166,0.193839
167,0.203261
168,0.212683
169,0.217394
170,0.222105
171,0.236238
172,0.250371
173,0.24566
174,0.24566
175,0.259793
176,0.255082
177,0.255082
178,0.264504
179,0.259793
180,0.269215
181,0.273926
182,0.273926
183,0.283348
184,0.288059
185,0.311615
186,0.306904
187,0.316326
188,0.306904
189,0.297482
190,0.288059
191,0.264504
192,0.250371
193,0.250371
194,0.259793
195,0.269215
196,0.264504
197,0.264504
198,0.259793
199,0.264504
200,0.250371
201,0.250371
202,0.24566
203,0.240949
204,0.231527
205,0.222105
206,0.226816
207,0.222105
208,0.212683
209,0.207972
210,0.19855
211,0.19855
212,0.193839
213,0.189127
