original,LSH,Graph
3.45,22.45,42.45
2.15,21.15,42.15
1.89,20.89,42.89
2.03,21.03,42.03
2.25,21.25,41.25
2.2,22.2,44.2
2.19,23.19,44.19
2.49,22.49,44.49
2.88,22.88,43.88
3.07,24.07,43.07
3.01,22.01,42.01
2.35,23.35,43.35
2.09,23.09,42.09
2.23,22.23,42.23
2.24,22.24,42.24
2.43,21.43,43.43
2.14,23.14,43.14
2.17,21.17,43.17
2.17,21.17,42.17
1.85,21.85,40.85
2.02,21.02,42.02
1.91,20.91,39.91
2.12,22.12,41.12
1.72,21.72,39.72
1.85,21.85,41.85
1.77,21.77,40.77
1.79,20.79,42.79
2.15,21.15,42.15
2.26,22.26,44.26
2.3,21.3,41.3
2.31,22.31,43.31
2.8,21.8,43.8
2.55,22.55,42.55
2.73,23.73,41.73
2.37,23.37,44.37
2.36,22.36,41.36
2.42,21.42,42.42
2.66,21.66,42.66
2.79,23.79,42.79
3.04,23.04,43.04
3.59,22.59,42.59
4.29,25.29,44.29
3.99,22.99,42.99
4.43,23.43,45.43
5.06,24.06,45.06
5.02,26.02,45.02
5.52,24.52,45.52
8.9,28.9,48.9
8.17,27.17,49.17
5.61,26.61,45.61
5.23,25.23,45.23
5.19,26.19,45.19
4.19,25.19,46.19
3.72,24.72,43.72
3.11,22.11,41.11
2.97,22.97,44.97
2.19,22.19,43.19
2.46,22.46,42.46
2.34,21.34,42.34
2.3,22.3,44.3
2.32,22.32,40.32
2.32,22.32,42.32
3.03,22.03,42.03
3.43,22.43,43.43
3.5,24.5,45.5
3.26,24.26,42.26
2.99,21.99,40.99
3.09,22.09,43.09
3.55,24.55,41.55
4.13,24.13,46.13
4.04,23.04,44.04
4.74,24.74,44.74
5.43,24.43,45.43
7.71,27.71,47.71
5.93,26.93,47.93
5.26,25.26,46.26
5.81,26.81,45.81
5.82,25.82,44.82
5.03,24.03,45.03
4.99,23.99,44.99
4.62,23.62,43.62
4.63,25.63,45.63
4.47,23.47,43.47
6.13,27.13,48.13
6.14,26.14,45.14
5.37,24.37,45.37
5.39,24.39,45.39
5.71,25.71,44.71
6.33,25.33,47.33
6.27,26.27,45.27
5.93,25.93,44.93
5.41,26.41,44.41
5.15,26.15,44.15
6.35,26.35,47.35
6.17,26.17,46.17
6.58,25.58,48.58
6.15,26.15,46.15
6.14,26.14,46.14
6.96,25.96,47.96
7.16,27.16,47.16
6.47,26.47,46.47
7.18,28.18,48.18
7.63,26.63,45.63
9.53,30.53,50.53
11.75,31.75,52.75
13.42,34.42,54.42
10.3,30.3,49.3
13.05,34.05,51.05
8.69,29.69,47.69
7.54,27.54,45.54
6.89,25.89,45.89
7.16,26.16,46.16
6.25,25.25,44.25
6.21,27.21,46.21
6.17,25.17,46.17
7.14,28.14,48.14
4.9,23.9,44.9
5.85,26.85,45.85
7.41,27.41,47.41
6.73,26.73,44.73
6.55,25.55,48.55
8,29,47
7.11,27.11,47.11
7.6,27.6,49.6
7.64,27.64,48.64
7.35,26.35,45.35
6.22,26.22,46.22
6.22,26.22,47.22
6.08,27.08,45.08
6.74,26.74,46.74
7.1,26.1,46.1
7.11,26.11,47.11
7.99,26.99,45.99
8.54,29.54,49.54
9.41,28.41,48.41
10.18,29.18,49.18
11.27,31.27,52.27
12.69,32.69,53.69
11.09,31.09,49.09
8.26,27.26,47.26
7.67,26.67,46.67
6.74,25.74,46.74
6.68,26.68,45.68
5.82,26.82,43.82
5.24,24.24,47.24
4.52,24.52,43.52
3.96,24.96,43.96
3.5,24.5,43.5
3.83,24.83,42.83
3.8,23.8,44.8
3.38,23.38,48.35
3.14,22.14,46.17
2.99,21.99,46.58
4.01,24.01,47.15
3.66,22.66,45.14
5.35,26.35,44.96
5.83,24.83,45.16
5.32,26.32,46.47
4.29,23.29,46.18
4.03,24.03,48.63
4.14,25.14,49.53
4.8,23.8,51.75
4.63,25.63,51.42
4.32,23.32,48.3
3.89,22.89,52.05
3.43,23.43,50.69
3.71,24.71,45.54
4.25,23.25,45.89
4.49,24.49,48.16
4.09,24.09,45.25
3.97,22.97,45.21
4.24,23.24,47.17
4.31,24.31,46.14
4.54,25.54,42.9
4.42,24.42,47.85
4.06,24.06,46.41
3.9,22.9,48.73
3.57,24.57,47.55
3.24,23.24,46
3.17,23.17,47.11
2.67,21.67,46.6
2.51,22.51,47.64
2.17,23.17,47.35
1.95,21.95,44.22
2.43,22.43,48.22
2.46,23.46,45.08
2.95,23.95,44.74
2.84,21.84,46.1
2.85,23.85,45.11
3.32,23.32,47.99
3.54,23.54,47.54
3.34,23.34,49.41
3.33,22.33,52.18
3.33,22.33,50.27
3.81,23.81,53.69
4.17,25.17,50.09
4.04,25.04,50.26
3.83,24.83,49.67
3.62,23.62,47.74
3.43,23.43,48.68
3.62,24.62,45.82
3.68,24.68,44.24
3.64,24.64,43.52
4.24,24.24,43.96
4.71,23.71,44.5
6,27,43.83
4.9,23.9,44.8
4.66,24.66,45.35
4.58,23.58,47.17
4.59,23.59,46.58
4.05,24.05,45.15
3.91,24.91,47.14
3.92,22.92,45.96
3.78,22.78,47.16
4.12,25.12,46.47
3.48,24.48,48.18
2.99,22.99,49.63
2.87,21.87,50.53
2.83,23.83,53.75
2.61,21.61,53.42
2.85,23.85,50.3
2.78,21.78,53.05
2.84,23.84,48.69
2.77,23.77,47.54
2.66,23.66,46.89
2.34,22.34,48.16
2.09,21.09,46.25
1.93,20.93,46.21
2.28,21.28,46.17
1.99,20.99,48.14
1.73,22.73,45.9
1.92,22.92,45.85
1.92,20.92,47.41
2.59,21.59,46.73
2.82,21.82,46.55
2.82,21.82,48
2.99,21.99,46.11
2.98,23.98,47.6
2.55,23.55,47.64
3.59,22.59,48.35
3.3,24.3,46.22
2.85,21.85,46.22
2.88,21.88,47.08
3.1,23.1,45.74
3.15,22.15,46.1
2.98,23.98,48.11
2.98,23.98,46.99
2.9,22.9,48.54
2.98,23.98,49.41
2.88,23.88,49.18
3.01,23.01,51.27
2.82,23.82,51.69
3.87,22.87,50.09
2.67,21.67,50.26
2.69,22.69,47.67
2.8,23.8,45.74
2.8,22.8,46.68
2.97,21.97,44.82
2.83,22.83,46.24
2.96,22.96,46.52
3,22,43.96
3.28,24.28,43.5
4.09,25.09,43.83
4.04,25.04,43.8
3.11,24.11,42.11
2.69,21.69,44.69
2.95,22.95,43.95
2.65,21.65,42.65
2.64,21.64,40.64
2.4,23.4,42.4
2.37,22.37,44.37
2.22,23.22,41.22
2.56,21.56,41.56
2.33,22.33,44.33
2.65,22.65,42.65
2.22,21.22,40.22
2.02,21.02,42.02
1.91,20.91,40.91
1.79,20.79,43.79
1.74,21.74,40.74
1.75,22.75,41.75
1.63,22.63,43.63
1.77,22.77,41.77
2.3,23.3,42.3
1.92,22.92,42.92
2.39,23.39,42.39
2.61,23.61,41.61
2.59,22.59,42.59
2.71,22.71,44.71
5.35,26.35,45.35
2.62,23.62,43.62
