timestamp,count,count2,count3
1,182.478,182.478,167.108
2,176.231,176.231,166.51
3,183.917,183.917,158.249
4,177.798,177.798,158.625
5,165.469,165.469,168.985
6,181.878,181.878,156.887
7,184.502,184.502,155.343
8,183.303,183.303,151.819
9,177.578,177.578,160.722
10,171.641,171.641,168.085
11,191.014,191.014,163.103
12,184.068,184.068,158.216
13,188.457,188.457,157.37
14,175.739,175.739,152.185
15,175.524,175.524,159.28
16,189.128,189.128,154.135
17,176.885,176.885,148.597
18,167.14,167.14,148.528
19,173.723,173.723,144.448
20,168.46,168.46,168.824
21,177.623,177.623,161.965
22,183.888,183.888,148.596
23,167.487,167.487,148.214
24,165.572,165.572,148.805
25,170.48,170.48,156.696
26,172.474,172.474,154.009
27,166.448,166.448,147.022
28,163.098,163.098,140.947
29,163.544,163.544,146.761
30,163.816,163.816,154.866
31,186.38,186.38,152.099
32,178.898,178.898,149.217
33,166.19,166.19,149.261
34,165.544,165.544,143.929
35,166.867,166.867,152.212
36,178.212,178.212,160.4
37,169.749,169.749,159.471
38,169.483,169.483,155.319
39,165.488,165.488,152.193
40,159.746,159.746,156.45
41,172.564,172.564,156.507
42,166.777,166.777,144.858
43,168.385,168.385,144.852
44,165.223,165.223,144.988
45,157.756,157.756,147.222
46,175.925,175.925,143.011
47,166.959,166.959,134.409
48,164.471,164.471,134.392
49,162.761,162.761,134.646
50,163.818,163.818,157.175
51,169.341,169.341,150.374
52,165.941,165.941,151.579
53,164.946,164.946,133.844
54,156.219,156.219,21.351
55,159.29,159.29,120.827
56,161.539,161.539,144.293
57,157.605,157.605,137.726
58,151.828,151.828,131.608
59,154.479,154.479,135.32
60,151.459,151.459,142.626
61,180.53,180.53,138.043
62,171.3,171.3,143.144
63,171.844,171.844,137.443
64,163.034,163.034,125.936
65,153.117,153.117,146.905
66,157.77,157.77,130.365
67,165.823,165.823,127.836
68,163.57,163.57,129.805
69,159.084,159.084,128.26
70,162.019,162.019,137.431
71,167.267,167.267,136.627
72,167.108,167.108,132.495
73,166.51,166.51,127.664
74,158.249,158.249,127.829
75,158.625,158.625,127.672
76,168.985,168.985,127.524
77,156.887,156.887,122.496
78,155.343,155.343,122.858
79,151.819,151.819,121.402
80,160.722,160.722,142
81,168.085,168.085,131.1
82,163.103,163.103,123.333
83,158.216,158.216,123.423
84,157.37,157.37,121.757
85,152.185,152.185,125.587
86,159.28,159.28,117.429
87,154.135,154.135,117.851
88,148.597,148.597,113.609
89,148.528,148.528,114.699
90,144.448,144.448,118.897
91,168.824,168.824,110.782
92,161.965,161.965,116.2
93,148.596,148.596,116.546
94,148.214,148.214,114.914
95,148.805,148.805,120.002
96,156.696,156.696,114.761
97,154.009,154.009,112.547
98,147.022,147.022,115.787
99,140.947,140.947,112.887
100,146.761,146.761,119.855
101,154.866,154.866,112.784
102,152.099,152.099,114.041
103,149.217,149.217,115.58
104,149.261,149.261,109.522
105,143.929,143.929,111.574
106,152.212,152.212,109.292
107,160.4,160.4,108.028
108,159.471,159.471,111.188
109,155.319,155.319,107.032
110,152.193,152.193,122.559
111,156.45,156.45,107.587
112,156.507,156.507,104.558
113,144.858,144.858,109.036
114,144.852,144.852,102.332
115,144.988,144.988,102.671
116,147.222,147.222,95.9881
117,143.011,143.011,102.611
118,134.409,134.409,103.685
119,134.392,134.392,102.725
120,134.646,134.646,108.086
121,157.175,157.175,107.713
122,150.374,150.374,102.713
123,151.579,151.579,102.108
124,133.844,133.844,102.683
125,21.351,21.351,104.973
126,120.827,120.827,100.602
127,144.293,144.293,99.92
128,137.726,137.726,99.1323
129,131.608,131.608,101.645
130,135.32,135.32,106.207
131,142.626,142.626,102.862
132,138.043,138.043,101.776
133,143.144,143.144,97.6762
134,137.443,137.443,101.029
135,125.936,125.936,103.359
136,146.905,146.905,98.014
137,130.365,130.365,96.974
138,127.836,127.836,95.9727
139,129.805,129.805,96.2408
140,128.26,128.26,108.303
141,137.431,137.431,98.2091
142,136.627,136.627,94.8747
143,132.495,132.495,90.6219
144,127.664,127.664,91.9962
145,127.829,127.829,94.3371
146,127.672,127.672,94.326
147,127.524,127.524,95.3841
148,122.496,122.496,93.4592
149,122.858,122.858,100.792
150,121.402,121.402,99.682
151,142,142,93.4157
152,131.1,131.1,94.2993
153,123.333,123.333,94.656
154,123.423,123.423,90.9435
155,121.757,121.757,97.455
156,125.587,125.587,90.3269
157,117.429,117.429,89.8066
158,117.851,117.851,92.6011
159,113.609,113.609,93.924
160,114.699,114.699,96.1645
161,118.897,118.897,94.9842
162,110.782,110.782,90.8373
163,116.2,116.2,92.7636
164,116.546,116.546,89.351
165,114.914,114.914,92.1673
166,120.002,120.002,87.0788
167,114.761,114.761,90.0895
168,112.547,112.547,88.5783
169,115.787,115.787,90.4594
170,112.887,112.887,113.17
171,119.855,119.855,92.4069
172,112.784,112.784,91.5526
173,114.041,114.041,91.2018
174,115.58,115.58,90.4372
175,109.522,109.522,93.188
176,111.574,111.574,90.4892
177,109.292,109.292,94.2971
178,108.028,108.028,87.3674
179,111.188,111.188,87.6721
180,107.032,107.032,93.118
181,122.559,122.559,87.7982
182,107.587,107.587,89.5685
183,104.558,104.558,90.1783
184,109.036,109.036,89.0339
185,102.332,102.332,91.5923
186,102.671,102.671,86.7177
187,95.9881,95.9881,86.433
188,102.611,102.611,85.5993
189,103.685,103.685,88.768
190,102.725,102.725,89.7564
191,108.086,108.086,91.2767
192,107.713,107.713,91.3631
193,102.713,102.713,86.8969
194,102.108,102.108,86.9296
195,102.683,102.683,87.9156
196,104.973,104.973,82.9027
197,100.602,100.602,80.5629
198,99.92,99.92,82.1503
199,99.1323,99.1323,81.6871
200,101.645,101.645,92.4795
201,106.207,106.207,84.8501
202,102.862,102.862,82.576
203,101.776,101.776,83.2478
204,97.6762,97.6762,91.3629
205,101.029,101.029,85.4334
206,103.359,103.359,81.9626
207,98.014,98.014,82.6873
208,96.974,96.974,83.6986
209,95.9727,95.9727,83.7196
210,96.2408,96.2408,86.7088
211,108.303,108.303,84.369
212,98.2091,98.2091,86.7121
213,94.8747,94.8747,86.8716
214,90.6219,90.6219,83.3781
215,91.9962,91.9962,91.9046
216,94.3371,94.3371,86.891
217,94.326,94.326,83.069
218,95.3841,95.3841,83.5436
219,93.4592,93.4592,88.8204
220,100.792,100.792,87.1741
221,99.682,99.682,83.3444
222,93.4157,93.4157,89.3043
223,94.2993,94.2993,88.2063
224,94.656,94.656,86.8699
225,90.9435,90.9435,89.4576
226,97.455,97.455,86.4677
227,90.3269,90.3269,84.4437
228,89.8066,89.8066,83.5074
229,92.6011,92.6011,78.5641
230,93.924,93.924,98.5209
231,96.1645,96.1645,85.1591
232,94.9842,94.9842,83.9932
233,90.8373,90.8373,85.7439
234,92.7636,92.7636,82.0811
235,89.351,89.351,81.4424
236,92.1673,92.1673,77.6519
237,87.0788,87.0788,86.7951
238,90.0895,90.0895,79.4717
239,88.5783,88.5783,78.4727
240,90.4594,90.4594,82.3431
241,113.17,113.17,74.5114
242,92.4069,92.4069,78.0242
243,91.5526,91.5526,81.8391
244,91.2018,91.2018,78.9632
245,90.4372,90.4372,84.826
246,93.188,93.188,84.2387
247,90.4892,90.4892,81.6799
248,94.2971,94.2971,80.8482
249,87.3674,87.3674,85.5033
250,87.6721,87.6721,87.1183
251,93.118,93.118,83.0998
252,87.7982,87.7982,87.3975
253,89.5685,89.5685,81.5624
254,90.1783,90.1783,81.4218
255,89.0339,89.0339,84.1118
256,91.5923,91.5923,78.32
257,86.7177,86.7177,82.6624
258,86.433,86.433,78.9247
259,85.5993,85.5993,81.0308
260,88.768,88.768,103.299
261,89.7564,89.7564,88.5057
262,91.2767,91.2767,82.3288
263,91.3631,91.3631,77.7031
264,86.8969,86.8969,80.8612
265,86.9296,86.9296,85.3369
266,87.9156,87.9156,81.5927
267,82.9027,82.9027,80.3064
268,80.5629,80.5629,77.0381
269,82.1503,82.1503,78.7574
270,81.6871,81.6871,85.5512
271,92.4795,92.4795,81.3177
272,84.8501,84.8501,79.5445
273,82.576,82.576,80.4187
