# Input	LSH	Graph
100	36.0776988	6.45284843
200	38.5118125	18.6572303
300	40.1684899	25.2917563
400	38.7385253	33.3839579
500	38.2029903	39.6692082
600	39.5168685	45.2554182
700	38.7357909	55.7039931
800	38.4650491	59.106099
900	39.7341629	68.4335769
1000	38.0177361	80.7042831
1100	39.3763743	84.9120334
1200	39.6305686	91.4994253
1300	38.9990012	95.5434477
1400	38.3962814	116.693905
1500	39.4873621	115.527978
1600	38.4310493	122.670265
1700	38.8196523	127.006024
1800	39.5588072	134.781106
1900	39.2082538	139.544188
2000	39.0853339	150.033472
2100	39.5725336	159.125292
2200	39.4196457	160.514638
2300	39.5937578	171.104346
2400	39.377942	
2500	40.6741651	
2600	39.371742	
2700	39.9615649	
2800	39.1990854	
2900	39.1229978	
3000	39.5813527	
